rsid,Magnitude,Repute,Summary
Rs5882(A;A),2,Bad,Faster aging. Increased risk for Dementia. Less good cholesterol.
Rs28931591(C;C),0,Good,common in clinvar
Rs2230199(C;C),0,Good,common
Rs2230199(G;G),2,Bad,2.5x+ risk of ARMD
Rs1047286(C;C),0,Good,common in clinvar
Rs1047286(T;T),1.7,Bad,1.7x increased risk for age-related macular degeneration
Rs28929485(C;C),0,Good,common in clinvar
Rs28929485(T;T),6,Bad,Deafness and keratitis; possible dominant or recessive
Rs28931592(A;A),0,Good,common in clinvar
Rs28931592(T;T),0,,
Rs28931593(G;G),0,Good,common in clinvar
Rs28931594(G;G),0,Good,common in clinvar
Rs28931595(G;G),0,Good,common in clinvar
Rs28931600(G;G),0,Good,common in clinvar
Rs28931601(G;G),0,Good,common in clinvar
Rs11547328(C;C),0,Good,common in complete genomics
Rs231775(A;A),1,Good,no increased risk of autoimmune thyroid disease
Rs28931606(T;T),0,Good,common in clinvar
Rs28931607(G;G),0,Good,common in clinvar
Rs28931608(G;G),0,Good,common in clinvar
Rs4986893(G;G),0,Good,normal
Rs4986893(A;A),2.1,,poor metabolizer of several commonly prescribed drugs
Rs28399504(A;A),0,Good,normal
Rs28399504(G;G),2.5,Bad,poor metabolizer
Rs28931609(C;C),0,Good,common in clinvar
Rs28931610(C;C),0,Good,common in clinvar
Rs28931610(T;T),6,Bad,carrier of a skin fragility/woolly hair syndrome allele
Rs28931611(T;T),0,Good,common in clinvar
Rs28931612(G;G),0,Good,common in complete genomics
Rs11570255(G;G),0,Good,common in complete genomics
Rs11570351(G;G),0,Good,common on affy axiom data
Rs5352(G;G),0,Good,common
Rs5352(A;A),3.5,Bad,Hirschsprung disease?
Rs2234922(A;A),0,Good,common in clinvar
Rs460897(G;G),0,Good,common in complete genomics
Rs28929498(A;A),0,Good,common in clinvar
Rs28931614(G;G),0,Good,common in clinvar
Rs28933068(C;C),0,Good,common in clinvar
Rs28931615(C;C),0,Good,common in clinvar
Rs4647924(C;C),0,Good,common in clinvar
Rs28928868(G;G),0,Good,common in clinvar
Rs6165(G;G),0,Good,common in clinvar
Rs6166(G;G),1,Bad,Females slightly more likely to be sterile
Rs6166(A;A),0,Good,common/normal
Rs28928870(C;C),0,Good,common in clinvar
Rs28928871(G;G),0,Good,common in clinvar
Rs17855739(G;G),0,Good,common in clinvar
Rs28928872(G;G),0,Good,common in clinvar
Rs28928872(C;C),0,,
Rs28932769(T;T),0,Good,common in clinvar
Rs28933074(A;A),0,Good,common in clinvar
Rs1169305(T;T),0,Good,common in clinvar
Rs1169305(C;C),0,Good,common in complete genomics
Rs28928890(A;A),0,Good,common in clinvar
Rs28933081(G;G),0,Good,common in clinvar
Rs28928891(A;A),0,Good,common in clinvar
Rs28928892(C;C),0,Good,common in clinvar
Rs28933082(C;C),0,Good,common in clinvar
Rs1494558(A;A),0,Good,common in clinvar
Rs1494558(G;G),0,Good,benign polymorphism
Rs1494555(C;C),0,Good,common in clinvar
Rs1494555(T;T),0,Good,benign polymorphism
Rs1801275(A;A),0,,
Rs28933087(T;T),0,Good,normal
Rs28933087(G;G),3,,homozygote for pachyonychia congenita Type I mutation
Rs11554495(G;G),0,Good,common in clinvar
Rs28928894(T;T),0,Good,normal
Rs28928894(C;C),3,,homozygote for pachyonychia congenita Type I mutation
Rs28928895(T;T),0,Good,normal
Rs28928895(A;A),0,,
Rs28933088(T;T),0,Good,common in clinvar
Rs28928896(A;A),0,Good,common in clinvar
Rs28928897(G;G),0,Good,common in complete genomics
Rs28928898(T;T),0,Good,common in clinvar
Rs28928899(T;T),0,Good,common in clinvar
Rs28933089(T;T),0,Good,common in clinvar
Rs28928900(C;C),0,Good,common in clinvar
Rs28933090(T;T),0,Good,common in clinvar
Rs28933091(C;C),0,Good,common in clinvar
Rs28933092(A;A),0,Good,common in clinvar
Rs28928901(C;C),0,Good,common in clinvar
Rs28928902(C;C),0,Good,common in clinvar
Rs28933093(G;G),0,Good,common in clinvar
Rs28928903(G;G),0,Good,common in clinvar
Rs28928904(T;T),0,Good,common in complete genomics
Rs28928905(G;G),0,Good,common in clinvar
Rs12720441(C;C),0,Good,common in complete genomics
Rs28928906(G;G),0,Good,common in clinvar
Rs3218713(G;G),0,Good,common in clinvar
Rs3218713(A;A),6,Bad,Familial Hypertrophic Cardiomyopathy
Rs3218714(C;C),0,Good,common in clinvar
Rs3218714(T;T),6,Bad,Familial Hypertrophic Cardiomyopathy
Rs28933098(C;C),0,Good,common in clinvar
Rs28928910(C;C),0,Good,common in clinvar
Rs1799983(G;G),0,,normal risk
Rs28933100(G;G),0,Good,common in clinvar
Rs17158558(C;C),0,Good,normal
Rs28933368(G;G),0,Good,common in complete genomics
Rs28933369(G;G),0,Good,common in complete genomics
Rs28933370(A;A),0,Good,common in complete genomics
Rs28933372(G;G),0,Good,common in clinvar
Rs28933372(C;C),0,,
Rs3188996(T;T),0,Good,common in complete genomics
Rs28933373(A;A),0,Good,common in clinvar
Rs28933970(T;T),0,Good,common in clinvar
Rs28933971(G;G),0,Good,common in clinvar
Rs28933972(C;C),0,Good,common in clinvar
Rs1057141(A;A),0,Good,common in clinvar
Rs28933973(C;C),0,Good,common in clinvar
Rs28933374(C;C),0,Good,common in clinvar
Rs28933375(A;A),0,Good,common in clinvar
Rs28933375(G;G),5,Bad,Familial Hemophagocytic Lymphohistiocytosis and Lymphoma
Rs28933376(C;C),0,Good,common in clinvar
Rs2236225(C;C),0,Good,common/normal
Rs2236225(T;T),1.5,Bad,Slightly (~1.5x) higher risk for Caucasian mothers to give birth to NTD children
Rs28933977(C;C),0,Good,common in clinvar
Rs5917(G;G),0,Good,common
Rs5918(T;T),0,Good,average
Rs5918(C;C),2.5,Bad,"MI risk, aspirin resistance"
Rs13306487(G;G),0,Good,common in complete genomics
Rs28933377(T;T),0,Good,common in clinvar
Rs28933378(T;T),0,Good,common in clinvar
Rs6133(G;G),0,Good,common in clinvar
Rs28933379(G;G),0,Good,common in complete genomics
Rs28933381(G;G),0,Good,common in clinvar
Rs28933382(C;C),0,Good,common in clinvar
Rs28933383(C;C),0,Good,common in complete genomics
Rs28933384(C;C),0,Good,common in clinvar
Rs1799990(A;A),2.3,Bad,Increased chance of Prion Disease (PrP 129 Met homozygote)
Rs1799990(G;G),2,Good,"Resistance to vCJD (PrP 129 Val homozygous), 1.7x reduced risk of sporadic CJD and 0.87x reduced risk for late-onset Alzheimer in a Caucasian population"
Rs28933385(G;G),0,Good,Prion protein Codon 200 (E) - Non pathogenic variant
Rs16990018(A;A),0,Good,PrP Codon 171 Asn - Non-pathogenic variant
Rs16990018(G;G),2,,
Rs28932472(C;C),0,Good,normal
Rs28933386(A;A),0,Good,common in clinvar
Rs28933386(G;G),0,,
Rs4253527(C;C),0,Good,common on affy axiom data
Rs28933392(G;G),0,Good,common in clinvar
Rs28933990(C;C),0,Good,common in clinvar
Rs3092891(C;C),0,Good,common in clinvar
Rs16879498(C;C),0,Good,common in clinvar
Rs29001637(C;C),0,Good,common in clinvar
Rs28933394(C;C),0,Good,common in clinvar
Rs29001653(A;A),0,Good,common in clinvar
Rs28933993(A;A),0,Good,common in clinvar
Rs29001566(C;C),0,Good,common in clinvar
Rs28933395(C;C),0,Good,common in clinvar
Rs486907(G;G),1,Good,Normal prostate cancer risk
Rs486907(A;A),2,Bad,2x increased prostate cancer risk
Rs28933396(G;G),0,Good,common in clinvar
Rs28933397(C;C),0,Good,common in complete genomics
Rs28933398(T;T),0,Good,common in clinvar
Rs28933399(T;T),0,Good,common in clinvar
Rs28933400(T;T),0,Good,common in clinvar
Rs28933401(G;G),0,Good,common in clinvar
Rs28934002(C;C),0,Good,common in clinvar
Rs28999969(G;G),0,Good,common in clinvar
Rs28999970(G;G),0,Good,common in clinvar
Rs28999971(G;G),0,Good,common in clinvar
Rs28933408(C;C),0,Good,common in clinvar
Rs28934568(T;T),0,Good,common in clinvar
Rs28934568(C;C),3,,
Rs1042522(C;C),3,Good,Live 3 years longer. Chemotherapy is more effective.
Rs1042522(G;G),2,Bad,Common variant. Slightly shorter lifespan.
Rs28934571(G;G),0,Good,common in complete genomics
Rs11540652(G;G),0,Good,common in clinvar
Rs28934873(T;T),0,Good,common in clinvar
Rs28934573(C;C),0,Good,common in clinvar
Rs28934574(C;C),0,Good,common in clinvar
Rs28934575(G;G),0,Good,common in clinvar
Rs28934576(G;G),0,Good,common in clinvar
Rs28934576(A;A),5,Bad,Li-Fraumeni Syndrome
Rs28934874(C;C),0,Good,common in clinvar
Rs28934577(T;T),0,Good,common in clinvar
Rs28934577(A;A),0,,
Rs28934578(G;G),0,Good,common in clinvar
Rs28934578(A;A),8,Bad,info@snpedia.com would like to hear from you
Rs28934875(G;G),0,Good,common in clinvar
Rs28934875(C;C),0,,
Rs28934580(G;G),0,Good,common in clinvar
Rs28934581(A;A),0,Good,common in clinvar
Rs6336(C;C),0,Good,common in clinvar
Rs6339(G;G),0,Good,common in clinvar
Rs28934876(A;A),0,Good,common in clinvar
Rs28934582(G;G),0,Good,common in clinvar
Rs28934583(T;T),0,Good,common in clinvar
Rs28934584(G;G),0,Good,common in clinvar
Rs28934591(C;C),0,Good,common in complete genomics
Rs28934592(G;G),0,Good,common in complete genomics
Rs28934593(G;G),0,Good,common in complete genomics
Rs28934594(C;C),0,Good,common in clinvar
Rs13551(A;A),0,Good,common in clinvar
Rs1800562(G;G),0,Good,Not a C282Y hemochromatosis carrier.
Rs1800562(A;A),5.1,Bad,"Two copies of C282Y, likely affected by hemochromatosis which may be serious if male or post-menopausal."
Rs28934889(G;G),0,Good,common in complete genomics
Rs28934595(A;A),0,Good,common in clinvar
Rs28934596(T;T),0,Good,common in clinvar
Rs28934597(G;G),0,Good,common in clinvar
Rs28934891(G;G),0,Good,common in clinvar
Rs28934892(C;C),0,Good,common in clinvar
Rs28934897(G;G),0,Good,common in clinvar
Rs11934801(G;G),0,Good,common in clinvar
Rs11461(C;C),0,Good,common in clinvar
Rs5030849(G;G),0,Good,common in clinvar
Rs28934904(C;C),0,Good,common in clinvar
Rs28934905(T;T),0,Good,common in clinvar
Rs28934906(C;C),0,Good,common in clinvar
Rs28934907(C;C),0,Good,common in clinvar
Rs28934908(C;C),0,Good,common in clinvar
Rs28935468(C;C),0,Good,common in clinvar
Rs28935168(C;C),0,Good,common in clinvar
Rs28935168(G;G),0,,
Rs28935169(A;A),0,Good,common in clinvar
Rs28935169(T;T),0,,
Rs28935469(C;C),0,Good,common in clinvar
Rs28935470(G;G),0,Good,common in clinvar
Rs28935471(A;A),0,Good,common in clinvar
Rs28935472(G;G),0,Good,common in clinvar
Rs28935473(C;C),0,Good,common in clinvar
Rs28936069(G;G),0,Good,common in clinvar
Rs28936070(G;G),0,Good,common in clinvar
Rs28936071(A;A),0,Good,common in clinvar
Rs28935170(G;G),0,Good,common in clinvar
Rs28936072(T;T),0,Good,common in clinvar
Rs28935174(G;G),0,Good,common in clinvar
Rs28935475(C;C),0,Good,common in clinvar
Rs28935476(C;C),0,Good,common in clinvar
Rs28935477(C;C),0,Good,common in clinvar
Rs28935478(A;A),0,Good,common in clinvar
Rs28935177(A;A),0,Good,common in clinvar
Rs1800278(A;A),0,Good,common in clinvar
Rs1800278(G;G),0.5,,
Rs28936077(T;T),0,Good,common in clinvar
Rs28935479(G;G),0,Good,common in clinvar
Rs28935480(G;G),0,Good,common in clinvar
Rs1800321(A;A),0,Good,common in clinvar
Rs28935481(A;A),0,Good,common in clinvar
Rs28935481(T;T),0,,
Rs28935482(G;G),0,Good,common in clinvar
Rs28935482(C;C),2,,
Rs28935496(C;C),0,Good,common in clinvar
Rs28934611(T;T),0,Good,common in clinvar
Rs28937294(G;G),0,Good,common in clinvar
Rs28935499(G;G),0,Good,common in clinvar
Rs28935499(A;A),5.5,Bad,Hemophilia A (severity varies)
Rs28935203(A;A),0,Good,common in clinvar
Rs28935203(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28933668(C;C),0,Good,common in clinvar
Rs28933669(T;T),0,Good,common in clinvar
Rs28933669(C;C),5.5,Bad,Hemophilia A (severity varies)
Rs28933670(T;T),0,Good,common in clinvar
Rs28933670(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28933671(A;A),0,Good,common in clinvar
Rs28933671(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28933672(G;G),0,Good,common in clinvar
Rs28933672(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28937272(A;A),0,Good,common in clinvar
Rs28937272(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28937282(C;C),0,Good,common in clinvar
Rs28937282(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28937285(G;G),0,Good,common in clinvar
Rs28937285(A;A),5.5,Bad,Hemophilia A (severity varies)
Rs28933673(G;G),0,Good,common in clinvar
Rs28933673(A;A),3,,
Rs28937287(T;T),0,Good,common in clinvar
Rs28937287(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28937289(G;G),0,Good,common in clinvar
Rs28937289(A;A),5.5,Bad,Hemophilia A (severity varies)
Rs28933674(G;G),0,Good,common in clinvar
Rs28933674(A;A),5.5,Bad,Hemophilia A (severity varies)
Rs28933675(C;C),0,Good,common in clinvar
Rs28933675(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28933676(A;A),0,Good,common in clinvar
Rs28933676(C;C),5.5,Bad,Hemophilia A (severity varies)
Rs28933677(C;C),0,Good,common in clinvar
Rs28933677(T;T),5.5,Bad,Hemophilia A (severity varies)
Rs28933678(G;G),0,Good,common in clinvar
Rs28933679(A;A),0,Good,common in clinvar
Rs28933679(G;G),3,,
Rs28933680(C;C),0,Good,common in clinvar
Rs28933680(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28933681(G;G),0,Good,common in clinvar
Rs28933681(A;A),5.5,Bad,Hemophilia A (severity varies)
Rs28933682(A;A),0,Good,common in clinvar
Rs28933682(G;G),5.5,Bad,Hemophilia A (severity varies)
Rs28933683(C;C),0,Good,common in clinvar
Rs6318(G;G),0,Good,common in clinvar
Rs6318(C;C),2.5,Bad,1.4x increased risk for cardiac events in patients; apparently stress (cortisol) related
Rs28933691(G;G),0,Good,common in clinvar
Rs28937313(A;A),0,Good,common in clinvar
Rs28937314(A;A),0,Good,common in clinvar
Rs28933692(G;G),0,Good,common in clinvar
Rs28933693(C;C),0,Good,common in clinvar
Rs28933693(T;T),5,Bad,Limb-girdle muscular dystrophy-dystroglycanopathy
Rs28937315(A;A),0,Good,common in clinvar
Rs28937316(G;G),0,Good,common in clinvar
Rs28937316(A;A),5,Bad,long QT syndrome
Rs28937317(A;A),0,Good,common in clinvar
Rs28937318(G;G),0,Good,common in clinvar
Rs7626962(G;G),0,Good,common in clinvar
Rs7626962(T;T),2,Bad,Now: Benign? Formerly: increased susceptibility to long QT syndrome
Rs28937319(C;C),0,Good,common in clinvar
Rs28933695(G;G),0,Good,common in clinvar
Rs144848(T;T),0,Good,normal
Rs144848(G;G),2,Bad,very slightly increased breast cancer risk
Rs28937321(G;G),0,Good,common in clinvar
Rs28933696(C;C),0,Good,common in clinvar
Rs28933697(C;C),0,Good,common in clinvar
Rs28933698(T;T),0,Good,common in clinvar
Rs28936668(A;A),0,Good,common in clinvar
Rs28936669(A;A),0,Good,common in clinvar
Rs28936368(C;C),0,Good,common in clinvar
Rs28938468(C;C),0,Good,common in clinvar
Rs28936370(G;G),0,Good,common in clinvar
Rs28938469(C;C),0,Good,common in clinvar
Rs28936371(C;C),0,Good,common in clinvar
Rs28936374(G;G),0,Good,common in clinvar
Rs906807(A;A),0,Good,common in clinvar
Rs28936670(C;C),0,Good,common in clinvar
Rs28936671(C;C),0,Good,common in clinvar
Rs28936672(G;G),0,Good,common in clinvar
Rs28936375(C;C),0,Good,common in clinvar
Rs28936376(G;G),0,Good,common in clinvar
Rs28936673(A;A),0,Good,common in clinvar
Rs28936674(G;G),0,Good,common in clinvar
Rs28936675(G;G),0,Good,common in clinvar
Rs28936379(A;A),0,Good,common in clinvar
Rs28936381(A;A),0,Good,common in clinvar
Rs28936382(A;A),0,Good,common in clinvar
Rs28936383(C;C),0,Good,common in clinvar
Rs28936383(G;G),5,Bad,Limb-girdle muscular dystrophy-dystroglycanopathy
Rs1799999(G;G),0,,normal risk
Rs1799999(T;T),3,Bad,insulin resistance
Rs28936676(A;A),0,Good,common in clinvar
Rs28936677(T;T),0,Good,common in clinvar
Rs28936677(C;C),3.5,Bad,Variegate porphyria
Rs12735723(C;C),0,Good,common in clinvar
Rs12735723(G;G),3.5,Bad,Variegate porphyria
Rs1566734(T;T),0,Good,common in clinvar
Rs28936678(T;T),0,Good,common in clinvar
Rs28936679(G;G),0,Good,common in complete genomics
Rs28936387(T;T),0,Good,common in clinvar
Rs28936388(C;C),0,Good,common in clinvar
Rs28936395(G;G),0,Good,common in clinvar
Rs28936396(C;C),0,Good,common in clinvar
Rs28938472(A;A),0,Good,common in clinvar
Rs1137101(A;A),0,Good,common in clinvar
Rs1137101(G;G),1.5,Bad,Slight increase in obesity and T2DM risk
Rs1137100(A;A),0,Good,common in clinvar
Rs11694(T;T),0,Good,common in clinvar
Rs28936680(T;T),0,Good,common in clinvar
Rs28936681(T;T),0,Good,common in clinvar
Rs28936682(C;C),0,Good,common in clinvar
Rs28936683(T;T),0,Good,common in clinvar
Rs28936397(A;A),0,Good,common in clinvar
Rs28936684(G;G),0,Good,common in clinvar
Rs1801725(G;G),0,Good,common in clinvar
Rs28936685(T;T),0,Good,common in clinvar
Rs28936686(G;G),0,Good,common in clinvar
Rs28936399(T;T),0,Good,common in clinvar
Rs28936401(C;C),0,Good,common in clinvar
Rs28936687(G;G),0,Good,common in clinvar
Rs28936688(G;G),0,Good,common in clinvar
Rs28936407(G;G),0,Good,common in complete genomics
Rs28997576(G;G),0,Good,common in complete genomics
Rs28936691(A;A),0,Good,common in clinvar
Rs28936692(G;G),0,Good,common in clinvar
Rs28936692(C;C),0,,
Rs28936693(T;T),0,Good,common in clinvar
Rs28936693(A;A),0,,
Rs28936694(G;G),0,Good,common in clinvar
Rs1805018(T;T),0,Good,common in complete genomics
Rs28938474(G;G),0,Good,common in clinvar
Rs28936696(A;A),0,Good,common in clinvar
Rs28936697(C;C),0,Good,common in clinvar
Rs28936698(A;A),0,Good,common in clinvar
Rs28936698(T;T),0,,
Rs17860403(C;C),0,Good,common in clinvar
Rs28936699(C;C),0,Good,common in complete genomics
Rs17860424(C;C),0,Good,common in clinvar
Rs28936415(G;G),0,Good,common in clinvar
Rs28936415(A;A),5,Bad,Congenital Disorder of Glycosylation Type 1a
Rs28936702(C;C),0,Good,common in clinvar
Rs28936703(C;C),0,Good,common in clinvar
Rs28936704(A;A),0,Good,common in clinvar
Rs28936416(T;T),0,Good,common in clinvar
Rs28938168(G;G),0,Good,common in clinvar
Rs1805389(C;C),0,Good,common in clinvar
Rs1805388(C;C),0,Good,common in clinvar
Rs28939668(G;G),0,Good,common in clinvar
Rs17848368(C;C),0,Good,common in clinvar
Rs28939675(T;T),0,Good,common in clinvar
Rs28939677(C;C),0,Good,common in clinvar
Rs28939680(C;C),0,Good,common in clinvar
